# init_mag dcoeff ccoeff
1.476699767e+00 8.714086783e-02 8.021026652e-02
8.801957350e-01 6.362452087e-02 7.611429847e-02
1.423246234e+00 5.339434861e-02 4.675690216e-02
7.616924239e-01 8.949059071e-02 2.295616393e-02
8.190970584e-01 1.150075547e-02 8.241086939e-02
6.180912330e-01 9.455823703e-02 1.926255227e-02
7.417662933e-01 2.572739667e-02 3.581247450e-02
8.185339288e-01 1.731452729e-02 9.132667309e-02
1.464079245e+00 3.399259263e-02 9.990052628e-02
7.636498043e-01 7.182434434e-02 9.689806017e-02
9.410061221e-01 6.756660976e-02 8.860402767e-02
1.109870809e+00 8.927044263e-02 6.238831276e-02
1.363621297e+00 1.953385226e-02 6.747533287e-02
1.363757671e+00 2.486177487e-02 8.017500146e-02
1.174881313e+00 1.470624669e-02 3.733526858e-02
1.159874348e+00 9.182340683e-02 9.511657948e-02
1.235757698e+00 5.471219479e-02 8.331784410e-02
7.227536581e-01 3.794240461e-02 6.029662100e-02
6.720661847e-01 2.500780554e-02 4.221545526e-02
1.370414972e+00 9.752424562e-02 4.833905075e-02
5.601386578e-01 6.360287108e-02 6.907307695e-02
1.183688909e+00 6.509520490e-02 2.184939645e-02
1.171238019e+00 7.155285577e-02 8.265905720e-02
1.111017981e+00 1.636511460e-02 3.667756647e-02
5.601373128e-01 7.818049378e-02 3.073742633e-02
1.477769274e+00 3.816177204e-02 7.885487913e-02
9.389516267e-01 6.679013482e-02 4.685812514e-02
1.032595022e+00 2.058785182e-02 4.197425735e-02
5.031322875e-01 7.918093985e-02 1.521646069e-02
7.512671055e-01 9.679845024e-02 5.913416713e-02
1.358490437e+00 5.042930939e-02 2.405981377e-02
9.252983512e-01 6.664817186e-02 6.101385600e-02
1.235818994e+00 2.420586087e-02 9.089715051e-02
1.422043217e+00 8.486090605e-02 5.415905985e-02
6.534741711e-01 5.634706914e-02 3.259532346e-02
1.492259229e+00 6.142021914e-02 1.679509843e-02
6.823317828e-01 3.052401739e-02 5.683423133e-02
1.440112902e+00 3.256565417e-02 5.482375395e-02
5.868830553e-01 2.162924093e-02 3.820363964e-02
9.682107151e-01 5.796597138e-02 4.471168792e-02
1.328989200e+00 6.886784203e-02 3.925879996e-02
7.810522630e-01 5.868648241e-02 2.350118842e-02
1.369091511e+00 7.187165472e-02 2.510876747e-02
1.476416574e+00 8.722261245e-02 5.207309775e-02
1.341713657e+00 7.171276666e-02 3.545307027e-02
9.488736003e-01 5.590218359e-02 5.553438066e-02
8.705084298e-01 8.208010929e-02 6.962294153e-02
9.826694370e-01 1.050028796e-02 9.951427661e-02
5.921815468e-01 3.701669071e-02 7.242566784e-02
7.266831051e-01 9.567951415e-02 1.570806907e-02
1.036566237e+00 6.301604661e-02 9.330321950e-02
1.233231651e+00 8.404084475e-02 9.787718642e-02
