# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 3.4689502e+02 1.0629069e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.8198349e+02 6.2218513e+00 8.4346843e-01
2 2.3450993e+02 2.6644110e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.7141005e+02 1.0846471e+02 1.4681368e+00
3 1.4277943e+02 2.1427928e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1159129e+02 2.3082838e+02 2.1168454e+00
4 9.9612862e+01 1.8867970e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.4468796e+01 1.6308939e+02 2.8461118e+00
5 7.3624481e+01 1.6469220e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.1112705e+01 1.5938087e+02 3.5273972e+00
6 5.4504383e+01 1.3529178e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.7364738e+01 1.0844862e+02 4.2499382e+00
7 4.2186031e+01 9.9682800e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.5988152e+01 8.8671326e+01 4.9090464e+00
8 3.2055580e+01 7.8941261e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.7248680e+01 6.4969826e+01 5.5746801e+00
9 2.4014387e+01 5.6339645e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0163855e+01 4.7486507e+01 6.2153838e+00
10 1.7558441e+01 4.3452877e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4447899e+01 3.8702702e+01 6.8557718e+00
11 1.2499791e+01 3.5890404e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0077513e+01 3.3108440e+01 7.5070608e+00
12 8.6962872e+00 3.2010197e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.0163012e+00 3.0712410e+01 8.2066040e+00
13 6.1100550e+00 2.9667452e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.9748087e+00 2.9200878e+01 8.8464823e+00
14 4.3787241e+00 2.9335148e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6587615e+00 2.9753590e+01 9.5133464e+00
15 3.2868404e+00 2.9625950e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.8690696e+00 2.9635002e+01 1.0140401e+01
16 2.6464663e+00 3.0093191e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.4189610e+00 3.1432980e+01 1.0765834e+01
17 2.2786732e+00 3.1490873e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1499100e+00 3.1614195e+01 1.1368393e+01
18 2.0706072e+00 3.2486347e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0007968e+00 3.3899155e+01 1.1998208e+01
19 1.9387349e+00 3.3497963e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8878721e+00 3.4029613e+01 1.2680270e+01
20 1.8479023e+00 3.4527775e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8183030e+00 3.5027431e+01 1.3272497e+01
21 1.7876565e+00 3.4850277e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.7772721e+00 3.5738567e+01 1.3991860e+01
22 1.7361367e+00 3.5338390e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.7065485e+00 3.5584019e+01 1.4670408e+01
23 1.6858644e+00 3.5953484e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.6600337e+00 3.5411209e+01 1.5400269e+01
24 1.6458696e+00 3.5451717e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.6444271e+00 3.6726231e+01 1.6037165e+01
25 1.5963445e+00 3.5988499e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.5786104e+00 3.5647423e+01 1.6655517e+01
26 1.5560091e+00 3.6075691e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.5492766e+00 3.6676849e+01 1.7285996e+01
27 1.5225701e+00 3.6155849e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.5087956e+00 3.6482681e+01 1.7901113e+01
28 1.4937221e+00 3.6755814e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4817725e+00 3.6653008e+01 1.8551636e+01
29 1.4685422e+00 3.6491241e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4649781e+00 3.7514111e+01 1.9165283e+01
30 1.4354541e+00 3.7322899e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4284680e+00 3.7137424e+01 1.9783693e+01
31 1.4130167e+00 3.7204899e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4247131e+00 3.8217552e+01 2.0409581e+01
32 1.3921425e+00 3.7793888e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3829732e+00 3.7756596e+01 2.1049163e+01
33 1.3703401e+00 3.8111435e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3658843e+00 3.8564289e+01 2.1666072e+01
34 1.3453209e+00 3.8143665e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3384188e+00 3.8705589e+01 2.2284203e+01
35 1.3238167e+00 3.8797295e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3168051e+00 3.8866402e+01 2.2960586e+01
36 1.3028840e+00 3.8910660e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3049176e+00 3.9505718e+01 2.3666606e+01
37 1.2824496e+00 3.9336189e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2812471e+00 3.9428944e+01 2.4429831e+01
38 1.2680466e+00 3.9548573e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2840514e+00 4.0300316e+01 2.5047409e+01
39 1.2579932e+00 3.9843842e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2486248e+00 3.9938702e+01 2.5666747e+01
40 1.2360470e+00 4.0281975e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2477410e+00 4.0666565e+01 2.6275064e+01
41 1.2199769e+00 4.0175594e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2137771e+00 4.0701511e+01 2.6940468e+01
42 1.2013797e+00 4.0773155e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1988668e+00 4.0937202e+01 2.7716038e+01
43 1.1852368e+00 4.0804752e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1864406e+00 4.1316139e+01 2.8533227e+01
44 1.1708252e+00 4.1231609e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1707639e+00 4.1566898e+01 2.9166040e+01
45 1.1555654e+00 4.1440727e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1562222e+00 4.1757217e+01 2.9779811e+01
46 1.1412649e+00 4.1679420e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1433060e+00 4.2094494e+01 3.0382646e+01
47 1.1309996e+00 4.1979485e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1270015e+00 4.2323227e+01 3.1016098e+01
48 1.1196988e+00 4.2242302e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1158956e+00 4.2607422e+01 3.1656527e+01
