# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 4.4662286e+02 2.1476776e+01 1.7944978e+02 8.5414037e-02 1.8903694e-01 4.0309995e+02 4.4772572e+01 2.3151021e+00
2 3.6325348e+02 6.8679634e+01 1.8140656e+02 6.5164627e-03 3.6426020e+00 3.0470779e+02 1.8905750e+02 4.2402027e+00
3 2.8460852e+02 2.4489574e+02 6.3804767e+02 1.3576309e-02 1.9989388e+01 2.5736127e+02 2.1033307e+02 5.9597535e+00
4 2.3107771e+02 1.7978011e+02 1.6946201e+02 4.4698492e-03 2.5511862e+01 2.0856038e+02 1.6636774e+02 7.7326834e+00
5 1.9106987e+02 1.8029869e+02 1.5210487e+02 3.4696355e-03 2.6011667e+01 1.6739445e+02 2.0902179e+02 9.4797742e+00
6 1.5290598e+02 2.4156364e+02 7.9695679e+01 3.3420369e-03 2.6204063e+01 1.3681387e+02 3.3076245e+02 1.1205733e+01
7 1.2660423e+02 4.2010434e+02 4.5272610e+01 3.2087455e-03 2.6024918e+01 1.0658025e+02 4.5106757e+02 1.2893018e+01
8 9.7855034e+01 5.5788843e+02 3.3339783e+01 3.0467585e-03 2.6224710e+01 8.6373703e+01 8.0678003e+02 1.4552734e+01
9 7.7399956e+01 8.3284326e+02 2.8283546e+01 2.9801941e-03 2.5033012e+01 6.8574471e+01 1.1826140e+03 1.6307039e+01
10 5.8728573e+01 1.3504086e+03 2.4886417e+01 3.0058417e-03 2.4422531e+01 5.3482258e+01 1.2768440e+03 1.7978969e+01
11 4.6825924e+01 1.6791530e+03 1.8953047e+01 2.6100322e-03 2.0456345e+01 4.2752132e+01 1.5984897e+03 1.9734523e+01
12 3.6935623e+01 1.5877185e+03 1.6973242e+01 2.1077897e-03 1.8191990e+01 3.0687780e+01 1.4394600e+03 2.1466997e+01
13 2.8011316e+01 1.4074375e+03 1.5853958e+01 2.6331907e-03 1.4905638e+01 2.3835367e+01 1.2189172e+03 2.3238825e+01
14 2.1098705e+01 4.5084849e+03 2.4068514e+01 6.4394074e-03 1.3156522e+01 1.7946222e+01 2.1380417e+03 2.4928043e+01
15 1.6117222e+01 1.4597594e+03 1.8531168e+01 2.4186708e-03 1.1290246e+01 1.4037896e+01 1.0064937e+03 2.6534860e+01
16 1.2379269e+01 1.5094332e+03 1.9769056e+01 1.0118796e-02 9.9432774e+00 1.0996028e+01 2.8928086e+03 2.8239161e+01
17 9.5995703e+00 1.7469856e+03 1.7251755e+01 7.9609710e-04 8.3508272e+00 8.3483562e+00 7.0429773e+02 2.9913353e+01
18 7.5769567e+00 7.9480450e+02 1.3878112e+01 5.8247021e-04 7.2876835e+00 6.5444756e+00 6.7506683e+02 3.1596332e+01
19 5.8402758e+00 5.7168457e+02 1.1093981e+01 7.2010752e-04 5.6955628e+00 5.0441809e+00 3.8306320e+02 3.3289910e+01
20 4.5903955e+00 5.2624908e+02 9.4640808e+00 6.5598346e-04 4.6701841e+00 4.1156831e+00 9.3123242e+02 3.5014170e+01
21 3.7370284e+00 8.3605310e+02 8.7325678e+00 9.7140973e-04 3.5494294e+00 3.5473838e+00 5.4979028e+02 3.6719056e+01
22 3.2680221e+00 6.4906287e+02 8.7576618e+00 1.1106146e-03 2.9677255e+00 3.0715957e+00 4.7585461e+02 3.8399665e+01
23 2.9418461e+00 1.3500911e+03 8.6697836e+00 1.2175411e-03 2.7191684e+00 2.8395674e+00 3.5301084e+03 4.0211762e+01
24 2.7064872e+00 4.0612642e+03 9.3002911e+00 8.8780333e-04 2.4084091e+00 2.6308224e+00 8.8396162e+03 4.1930549e+01
25 2.5683863e+00 6.7819346e+03 9.3400421e+00 9.0648676e-04 2.4179845e+00 2.5229537e+00 3.8664043e+03 4.3632107e+01
26 2.5019219e+00 5.3894214e+03 8.4278078e+00 7.4642024e-04 2.3932877e+00 2.4308567e+00 2.9865205e+03 4.5290118e+01
27 2.3320682e+00 3.3869465e+03 8.3246489e+00 6.7381340e-04 2.3457608e+00 2.3485372e+00 3.4370933e+03 4.6986514e+01
28 2.2476671e+00 2.1239543e+03 7.1630592e+00 7.3531485e-04 2.5224297e+00 2.1870561e+00 1.6441400e+03 4.8623560e+01
29 2.1651809e+00 3.5986501e+03 7.9120908e+00 6.7094603e-04 2.3697128e+00 2.1225522e+00 6.5730459e+03 5.0344431e+01
30 2.0441544e+00 8.8183496e+03 8.6102362e+00 5.7944719e-04 2.4410732e+00 2.0112817e+00 4.3257568e+03 5.2028475e+01
31 1.9889826e+00 4.9807925e+03 8.0279398e+00 5.6935090e-04 2.5680435e+00 1.9148847e+00 4.9826108e+03 5.3677797e+01
32 1.8794875e+00 3.4079749e+03 7.4829884e+00 6.4980506e-04 2.4778023e+00 1.8742186e+00 3.0155327e+03 5.5372186e+01
33 1.8171231e+00 1.8618936e+03 6.9088573e+00 6.0151255e-04 2.5160813e+00 1.7977641e+00 8.9391089e+02 5.7057386e+01
34 1.7663968e+00 7.9568860e+02 7.4669027e+00 5.2586594e-04 2.6085360e+00 1.7533871e+00 5.5126880e+02 5.8755134e+01
35 1.7129823e+00 8.4115957e+03 9.6066294e+00 5.4114813e-04 2.4631786e+00 1.7166151e+00 4.1460031e+04 6.0467736e+01
36 1.6975156e+00 2.1629113e+04 1.0443853e+01 5.8173604e-04 2.5220699e+00 1.6309558e+00 6.1667212e+03 6.2197309e+01
37 1.5881805e+00 2.9695728e+03 8.6589184e+00 5.1783945e-04 2.4660184e+00 1.6167059e+00 1.2156277e+03 6.3880824e+01
38 1.5477262e+00 1.6571499e+03 7.7442904e+00 5.1847304e-04 2.5482149e+00 1.5461193e+00 2.1454919e+03 6.5572728e+01
39 1.5245857e+00 2.6641274e+03 7.6192989e+00 4.9562799e-04 2.6636114e+00 1.4991432e+00 3.0458674e+03 6.7328022e+01
40 1.4931660e+00 2.1136233e+03 7.0351419e+00 5.1295495e-04 2.6941297e+00 1.4169348e+00 1.7840861e+03 6.9053873e+01
41 1.4974489e+00 1.3983831e+03 6.9498854e+00 4.9931230e-04 2.5933769e+00 1.4526685e+00 8.5866315e+02 7.0717920e+01
42 1.4265677e+00 8.0055609e+02 7.6412811e+00 4.5568764e-04 2.6645839e+00 1.4011433e+00 4.7753357e+02 7.2508889e+01
43 1.3390293e+00 5.5960272e+02 7.8622818e+00 4.4500796e-04 2.6636612e+00 1.3318743e+00 9.8545135e+02 7.4168355e+01
44 1.3330388e+00 8.9738348e+02 7.5824919e+00 5.0836353e-04 2.6372011e+00 1.3028351e+00 1.1513783e+03 7.5893293e+01
45 1.2796038e+00 1.7338038e+03 6.8952637e+00 4.6105593e-04 2.6742215e+00 1.3314230e+00 2.2250215e+03 7.7551416e+01
46 1.2327009e+00 3.9573931e+03 6.9976959e+00 4.3719087e-04 2.5054369e+00 1.2603233e+00 3.6694524e+03 7.9231835e+01
