# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 6.9538196e+02 2.0527830e+01 2.3068549e+02 7.5269721e-02 0.0000000e+00 6.3336249e+02 3.9929588e+01 1.6324439e+00
2 5.9650769e+02 4.5839149e+01 2.1850975e+02 4.8692664e-03 0.0000000e+00 5.5951776e+02 4.3319935e+01 2.7435594e+00
3 5.2629254e+02 6.0232533e+01 2.3182022e+02 4.2286227e-03 0.0000000e+00 4.9232138e+02 9.8788467e+01 3.9815657e+00
4 4.6254581e+02 9.9859222e+01 2.4553084e+02 4.0482008e-03 0.0000000e+00 4.3134363e+02 8.9374001e+01 5.2361243e+00
5 4.0409656e+02 1.0767369e+02 2.5892581e+02 3.8715501e-03 0.0000000e+00 3.7631067e+02 1.4983801e+02 6.5527420e+00
6 3.5178882e+02 1.4704616e+02 2.7246982e+02 3.7591595e-03 0.0000000e+00 3.2695660e+02 1.3040318e+02 7.7989080e+00
7 3.0517447e+02 1.4551480e+02 2.8620181e+02 3.5072290e-03 0.0000000e+00 2.8258389e+02 1.8088667e+02 9.1035511e+00
8 2.6314194e+02 1.7100026e+02 2.9931299e+02 3.3377029e-03 0.0000000e+00 2.4270206e+02 1.4205969e+02 1.0390364e+01
9 2.2535097e+02 1.4675603e+02 3.1041318e+02 3.1278310e-03 0.0000000e+00 2.0720883e+02 1.6484421e+02 1.1644401e+01
10 1.9129646e+02 1.4768301e+02 3.1777390e+02 3.2385322e-03 0.0000000e+00 1.7580710e+02 1.2694846e+02 1.2879600e+01
11 1.6218555e+02 1.2067513e+02 3.1998767e+02 2.8783290e-03 0.0000000e+00 1.4805266e+02 9.8813393e+01 1.4181890e+01
12 1.3615323e+02 8.5198570e+01 3.1769724e+02 2.8658987e-03 0.0000000e+00 1.2365235e+02 6.4716507e+01 1.5427978e+01
13 1.1335443e+02 4.8416454e+01 3.1194339e+02 2.6452581e-03 0.0000000e+00 1.0238866e+02 3.2656536e+01 1.6669618e+01
14 9.3624947e+01 2.0518745e+01 3.0815363e+02 2.5694089e-03 0.0000000e+00 8.4117218e+01 1.6418243e+01 1.7912155e+01
15 7.6195854e+01 1.7871637e+01 3.2988696e+02 2.7619889e-03 0.0000000e+00 6.7963341e+01 2.0498129e+01 1.9168171e+01
16 6.1361446e+01 2.4524740e+01 3.5719504e+02 1.8173147e-03 0.0000000e+00 5.3947540e+01 2.2564528e+01 2.0394917e+01
17 4.8190327e+01 2.7081591e+01 3.7560007e+02 2.3051077e-03 0.0000000e+00 4.1903061e+01 2.2767328e+01 2.1617227e+01
18 3.7085735e+01 2.2528276e+01 3.8605432e+02 2.3242263e-03 0.0000000e+00 3.1898531e+01 2.1427727e+01 2.2862323e+01
19 2.7982368e+01 2.0281807e+01 4.0029013e+02 1.9525802e-03 0.0000000e+00 2.3864840e+01 2.3985125e+01 2.4166726e+01
20 2.0793587e+01 1.9965689e+01 4.1704446e+02 1.8662353e-03 0.0000000e+00 1.7682816e+01 2.0470282e+01 2.5424372e+01
21 1.5305120e+01 1.8979795e+01 4.3329126e+02 1.8549900e-03 0.0000000e+00 1.3051296e+01 1.8754227e+01 2.6605196e+01
22 1.1269751e+01 2.0117056e+01 4.5023526e+02 1.5055141e-03 0.0000000e+00 9.8403902e+00 1.5151180e+01 2.7924236e+01
23 8.6150990e+00 1.4015136e+01 4.5812375e+02 1.7405608e-03 0.0000000e+00 7.7150455e+00 1.0128035e+01 2.9189116e+01
24 6.8149090e+00 2.0153793e+01 4.7370929e+02 1.7067526e-03 0.0000000e+00 6.1204429e+00 3.1005175e+01 3.0440517e+01
25 5.5660152e+00 2.6814163e+01 4.8677490e+02 1.3903923e-03 0.0000000e+00 5.2498803e+00 2.1896469e+01 3.1702293e+01
26 4.9651604e+00 1.2325927e+01 4.7519360e+02 1.5789927e-03 0.0000000e+00 4.9238877e+00 8.1423893e+00 3.2976546e+01
27 4.7755470e+00 8.5663872e+00 4.7063071e+02 1.7073426e-03 0.0000000e+00 4.8483458e+00 9.2506742e+00 3.4236161e+01
28 4.7165742e+00 1.1423045e+01 4.7155038e+02 1.4026304e-03 0.0000000e+00 4.8148990e+00 8.0938320e+00 3.5491841e+01
29 4.6727581e+00 7.4980412e+00 4.6355307e+02 1.5519473e-03 0.0000000e+00 4.7865944e+00 4.1558867e+00 3.6777078e+01
30 5.1084995e+00 4.1473303e+00 4.6618488e+02 1.5742733e-03 0.0000000e+00 4.6697936e+00 5.0437689e+00 3.8059014e+01
31 4.5542450e+00 1.0248178e+01 4.5479919e+02 1.3641717e-03 0.0000000e+00 4.6879382e+00 1.8977745e+01 3.9337969e+01
32 4.5318203e+00 1.5348012e+01 4.5705475e+02 1.4584023e-03 0.0000000e+00 4.6460743e+00 1.2331694e+01 4.0660614e+01
