# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 8.5956061e+02 5.1933785e+06 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.7231580e+02 3.6237277e+02 2.6941504e+00
2 1.1322713e+02 3.9360333e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.9757166e+02 3.2292679e+02 3.6543152e+00
3 9.3440155e+01 2.8705936e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0404211e+02 2.3964680e+02 4.6691127e+00
4 8.7295197e+01 2.3066153e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.3291298e+01 2.5529732e+02 5.6283932e+00
5 8.3367195e+01 2.6227124e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.2608421e+01 2.9794943e+02 6.6766567e+00
6 8.1151840e+01 2.9216473e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.9160576e+01 3.0549667e+02 7.6660142e+00
7 8.0230011e+01 2.9884918e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8201202e+01 2.9788477e+02 8.6768091e+00
8 7.9247818e+01 2.9360651e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.7721115e+01 2.6844351e+02 9.6787283e+00
9 7.8820946e+01 2.8593866e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8523872e+01 2.9769821e+02 1.0680506e+01
10 7.9060608e+01 2.8075073e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.7398659e+01 2.7607877e+02 1.1694644e+01
11 7.8585655e+01 2.7543359e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.7220787e+01 2.6418091e+02 1.2769045e+01
12 7.8003113e+01 2.7284341e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.6792320e+01 2.5557353e+02 1.3748638e+01
13 7.8527245e+01 2.5336958e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.6102455e+01 2.6195969e+02 1.4766960e+01
14 7.7502426e+01 2.5623126e+02 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8098228e+01 2.6698914e+02 1.5728035e+01
