# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 1.5133895e+03 9.4298904e+01 3.3668497e+02 2.1859097e-01 5.7919031e+02 1.0068592e+03 1.0977266e+02 5.1137064e+00
2 9.8251453e+02 1.3761801e+02 1.8614769e+02 1.0414079e-01 2.5365373e+02 7.1050366e+02 8.3083801e+01 9.4569526e+00
3 5.5611206e+02 1.0830618e+02 1.0996952e+02 7.9807952e-02 2.9634274e+02 3.8693811e+02 8.1341286e+01 1.3808685e+01
4 3.6376428e+02 1.2122349e+02 6.7722084e+01 6.4076796e-02 2.8873389e+02 3.7882751e+02 1.2682540e+02 1.8137043e+01
5 2.9868771e+02 1.1659827e+02 5.0731659e+01 5.9021462e-02 2.5606546e+02 3.3169620e+02 1.0279145e+02 2.2497498e+01
6 2.7180511e+02 1.0143743e+02 4.5232582e+01 5.0424997e-02 2.3117668e+02 2.8764862e+02 8.1987206e+01 2.6881542e+01
7 2.5347220e+02 7.7925751e+01 4.0056496e+01 4.2087823e-02 2.1356995e+02 2.7490356e+02 8.4658768e+01 3.1225875e+01
8 2.4198715e+02 8.8343544e+01 3.9779705e+01 3.6563430e-02 2.0705225e+02 2.7225433e+02 1.1006146e+02 3.5643055e+01
9 2.3185052e+02 9.4059067e+01 3.6486141e+01 3.6274403e-02 1.9713759e+02 2.4732307e+02 9.2725418e+01 4.0080488e+01
10 2.1999875e+02 8.7496933e+01 3.5694084e+01 3.6060203e-02 1.8991168e+02 2.5172162e+02 1.3021382e+02 4.4601748e+01
11 2.3319528e+02 1.1755852e+02 4.7132557e+01 6.2167764e-02 1.9827582e+02 2.5290518e+02 2.6716562e+02 4.8975466e+01
12 2.1604344e+02 2.3908060e+02 3.6857285e+01 4.5841493e-02 1.8674780e+02 2.3402933e+02 4.7797687e+02 5.3444641e+01
13 2.3261856e+02 4.5658997e+02 5.2224110e+01 8.2596332e-02 2.2993207e+02 2.4524013e+02 1.3227001e+03 5.7845877e+01
14 2.5845416e+02 2.4935676e+03 7.2036797e+01 1.4631447e-01 2.5088956e+02 3.3013959e+02 8.3525238e+02 6.2279446e+01
15 2.0678725e+02 1.8793765e+03 3.7038765e+01 1.1147667e-01 1.7758415e+02 2.1244223e+02 1.7939473e+03 6.6683583e+01
16 1.8084555e+02 1.9202440e+03 3.2198540e+01 5.7476148e-02 1.5491415e+02 1.9837746e+02 1.1378174e+03 7.1096049e+01
17 1.7389424e+02 8.3965283e+02 3.2788094e+01 5.0131358e-02 1.4174167e+02 1.8828130e+02 5.7981427e+02 7.5519640e+01
18 1.6055264e+02 5.0311053e+02 2.9531193e+01 4.0541381e-02 1.2934981e+02 1.7460799e+02 4.9066815e+02 7.9931553e+01
19 1.5293587e+02 4.3284247e+02 2.8750900e+01 3.9136577e-02 1.2792069e+02 1.8784114e+02 4.9478763e+02 8.4384321e+01
20 1.4606059e+02 5.6065106e+02 2.7423901e+01 3.2201659e-02 1.2439062e+02 1.6505898e+02 1.3422213e+03 8.8768172e+01
21 1.3754947e+02 9.0216748e+02 2.7815155e+01 3.0990498e-02 1.1596089e+02 1.6262509e+02 6.9554077e+02 9.3189561e+01
22 1.3031007e+02 7.1166888e+02 2.7422991e+01 2.9451830e-02 1.1008067e+02 1.4555844e+02 6.3943378e+02 9.7486119e+01
