# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
1 6.9509201e+01 2.1609634e-01 0.0000000e+00 1.9756697e+01 1.0105543e+00 7.8952026e-01
2 1.5037668e+01 1.4752066e+00 0.0000000e+00 7.0659389e+00 1.5752695e+00 1.0507610e+00
3 8.1462603e+00 1.2426702e+00 0.0000000e+00 6.5778127e+00 7.3618472e-01 1.2977726e+00
4 6.3580084e+00 7.8278649e-01 0.0000000e+00 5.0287280e+00 1.3019416e+00 1.6561935e+00
5 4.7160163e+00 1.8220057e+00 0.0000000e+00 4.1769733e+00 2.8561585e+00 1.9052935e+00
6 3.7799201e+00 3.7631509e+00 0.0000000e+00 3.5046334e+00 5.1825123e+00 2.2301598e+00
7 3.2247522e+00 6.3276086e+00 0.0000000e+00 3.0570083e+00 8.1269503e+00 2.5204990e+00
8 2.9962199e+00 9.2853832e+00 0.0000000e+00 2.7649784e+00 1.1349351e+01 2.8678157e+00
9 2.7726791e+00 1.2580330e+01 0.0000000e+00 2.6961565e+00 1.4554470e+01 3.2390492e+00
10 2.6701128e+00 1.5732334e+01 0.0000000e+00 2.5066743e+00 1.7642618e+01 3.4520071e+00
11 2.5672560e+00 1.8877338e+01 0.0000000e+00 2.4050608e+00 2.0859575e+01 3.8185725e+00
12 2.4489160e+00 2.1810215e+01 0.0000000e+00 2.3339248e+00 2.3038223e+01 4.0516081e+00
13 2.2809513e+00 2.4129892e+01 0.0000000e+00 2.2196045e+00 2.5359352e+01 4.5300417e+00
14 2.2363296e+00 2.6126511e+01 0.0000000e+00 2.1940172e+00 2.6895664e+01 5.3257606e+00
15 2.1373758e+00 2.7812817e+01 0.0000000e+00 2.1226811e+00 2.8768984e+01 6.1413851e+00
16 2.1117239e+00 2.9114357e+01 0.0000000e+00 2.3001325e+00 3.0154888e+01 6.8789668e+00
17 2.0661194e+00 2.9781040e+01 0.0000000e+00 1.9661537e+00 2.9131920e+01 7.4789536e+00
18 1.8323791e+00 2.9670006e+01 0.0000000e+00 1.7507890e+00 2.9509129e+01 8.0091853e+00
19 1.7881608e+00 2.9800570e+01 0.0000000e+00 1.7720842e+00 2.9981838e+01 8.4786136e+00
20 1.7473197e+00 3.0829685e+01 0.0000000e+00 1.7634517e+00 3.1388880e+01 9.1621640e+00
21 1.7213089e+00 3.2183220e+01 0.0000000e+00 1.7190160e+00 3.2528805e+01 9.6992333e+00
22 1.6899441e+00 3.3443897e+01 0.0000000e+00 1.6710864e+00 3.3719009e+01 1.0267672e+01
23 1.6824619e+00 3.4383411e+01 0.0000000e+00 1.6582556e+00 3.4912537e+01 1.0950032e+01
24 1.6718286e+00 3.5354065e+01 0.0000000e+00 1.6479260e+00 3.5553345e+01 1.1531917e+01
25 1.6435968e+00 3.6003410e+01 0.0000000e+00 1.6172035e+00 3.6332340e+01 1.2034548e+01
26 1.6567318e+00 3.6788261e+01 0.0000000e+00 1.6059591e+00 3.7462448e+01 1.2525471e+01
27 1.6342376e+00 3.7711674e+01 0.0000000e+00 1.6276450e+00 3.8295139e+01 1.3005692e+01
28 1.5873047e+00 3.8690147e+01 0.0000000e+00 1.5253427e+00 3.8951614e+01 1.3428956e+01
29 1.5407486e+00 3.9358017e+01 0.0000000e+00 1.5634820e+00 3.9593475e+01 1.3939168e+01
30 1.5397855e+00 4.0123085e+01 0.0000000e+00 1.5766830e+00 3.9407967e+01 1.4486373e+01
31 1.5260907e+00 4.0406944e+01 0.0000000e+00 1.3264068e+00 3.9391361e+01 1.4631732e+01
32 1.3398312e+00 4.0212242e+01 0.0000000e+00 1.2578831e+00 3.9887329e+01 1.5211808e+01
33 1.2076130e+00 4.0326195e+01 0.0000000e+00 1.1158346e+00 3.9344536e+01 1.5546046e+01
34 1.1183136e+00 4.0492641e+01 0.0000000e+00 1.1003904e+00 4.1300858e+01 1.5795088e+01
35 1.2265888e+00 4.1819229e+01 0.0000000e+00 1.1903306e+00 4.1728710e+01 1.6586102e+01
36 1.1250503e+00 4.2532948e+01 0.0000000e+00 1.2039979e+00 4.3482498e+01 1.7218511e+01
37 1.1309447e+00 4.3198475e+01 0.0000000e+00 9.9471521e-01 4.2212032e+01 1.7893693e+01
38 1.0686855e+00 4.2905586e+01 0.0000000e+00 1.0267178e+00 4.1692387e+01 1.8396563e+01
39 1.0224533e+00 4.2791534e+01 0.0000000e+00 9.5800370e-01 4.2279110e+01 1.8953440e+01
40 1.0107796e+00 4.3319550e+01 0.0000000e+00 9.3451345e-01 4.2835289e+01 1.9378337e+01
41 9.8247391e-01 4.4144180e+01 0.0000000e+00 9.4600570e-01 4.3923321e+01 2.0081667e+01
42 9.7761214e-01 4.5040951e+01 0.0000000e+00 9.1894913e-01 4.4874954e+01 2.0496741e+01
43 9.7951287e-01 4.5844528e+01 0.0000000e+00 9.1384947e-01 4.5223690e+01 2.0832274e+01
44 9.6607542e-01 4.6455490e+01 0.0000000e+00 9.1930586e-01 4.6070644e+01 2.1480941e+01
45 9.7540784e-01 4.7368618e+01 0.0000000e+00 9.0956789e-01 4.7112186e+01 2.2127617e+01
46 9.7001147e-01 4.8227806e+01 0.0000000e+00 9.1079962e-01 4.7756081e+01 2.2347004e+01
