# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
1 7.0852028e+01 1.4887789e-01 1.2154942e+01 2.2652920e+01 3.1958032e-01 5.5701749e+00
2 1.3353924e+01 5.9328443e-01 8.3266533e+01 6.3032007e+00 5.5149841e-01 1.4037860e+01
3 8.1670055e+00 3.5260102e-01 7.0967972e+01 8.9094152e+00 2.2661786e-01 2.4833610e+01
4 7.7833800e+00 5.0951749e-01 6.6126648e+01 4.7652111e+00 1.3720942e+00 3.9493930e+01
5 4.4757261e+00 2.6112995e+00 6.2438984e+01 4.4771409e+00 4.9284797e+00 5.1682821e+01
6 4.2004619e+00 6.6465068e+00 5.4273144e+01 3.4019153e+00 9.6400814e+00 6.4741859e+01
7 3.6205316e+00 1.1842583e+01 5.0486908e+01 3.4949675e+00 1.5506861e+01 7.7940974e+01
8 3.4259727e+00 1.7999268e+01 4.2779720e+01 2.7324934e+00 2.2108669e+01 8.9816771e+01
9 2.9243340e+00 2.4911928e+01 3.7086536e+01 2.9823313e+00 2.9715652e+01 1.0598148e+02
10 3.1217835e+00 3.2880234e+01 2.8826216e+01 2.9722192e+00 3.7585995e+01 1.1907847e+02
11 3.0726068e+00 4.1522850e+01 2.3830000e+01 2.7920272e+00 4.7483124e+01 1.2990325e+02
12 3.1349726e+00 5.0580097e+01 1.8530405e+01 2.5474782e+00 5.5010509e+01 1.4011445e+02
13 2.9164541e+00 5.7209209e+01 1.5568251e+01 2.4494560e+00 6.0190842e+01 1.5073253e+02
14 2.5910742e+00 6.1727856e+01 1.6222990e+01 3.0881863e+00 6.3037945e+01 1.6421442e+02
15 3.0199375e+00 6.3783924e+01 1.4730121e+01 2.8745360e+00 6.3781059e+01 1.7453723e+02
16 2.7113633e+00 6.3901199e+01 1.4477435e+01 2.2617166e+00 6.4340553e+01 1.8404533e+02
17 2.4563227e+00 6.4388985e+01 1.5071171e+01 2.3712769e+00 6.2933537e+01 1.9368116e+02
18 2.4470756e+00 6.3139076e+01 1.4423619e+01 2.3505116e+00 6.3505211e+01 1.9987291e+02
19 2.3538167e+00 6.2255318e+01 1.4893367e+01 2.2367764e+00 6.0791191e+01 2.0725647e+02
20 2.2696555e+00 6.1526405e+01 1.4577871e+01 2.1419566e+00 6.1378719e+01 2.1786795e+02
21 2.2569976e+00 6.0705353e+01 1.4348286e+01 2.1193407e+00 6.0418446e+01 2.2983099e+02
22 2.1469514e+00 6.0898075e+01 1.4917632e+01 2.0608311e+00 6.0622265e+01 2.3878224e+02
23 2.2215509e+00 6.0448101e+01 1.4143230e+01 1.9825379e+00 6.0998756e+01 2.5085214e+02
24 2.0960729e+00 6.0908749e+01 1.5202606e+01 2.0589595e+00 6.0612026e+01 2.5847180e+02
25 2.1452096e+00 6.0457596e+01 1.4068003e+01 2.0614266e+00 5.9499393e+01 2.6968019e+02
26 2.0314538e+00 5.9583740e+01 1.5023247e+01 1.8702669e+00 5.9891674e+01 2.8002888e+02
27 2.0124121e+00 5.9693348e+01 1.4125828e+01 1.8713424e+00 5.9078625e+01 2.9230496e+02
28 1.8818805e+00 5.9213760e+01 1.5012727e+01 1.7864761e+00 5.9278751e+01 3.0155592e+02
29 1.9384141e+00 5.9269093e+01 1.4203723e+01 1.7859317e+00 5.9135216e+01 3.1055466e+02
30 1.8402328e+00 5.8906979e+01 1.4828771e+01 1.8024151e+00 5.9537426e+01 3.2074122e+02
31 1.8648741e+00 5.9138729e+01 1.4490296e+01 1.8040754e+00 5.8676273e+01 3.3116675e+02
32 1.7844439e+00 5.9026676e+01 1.4922216e+01 1.8295305e+00 5.8897110e+01 3.4291853e+02
33 1.8820927e+00 5.9250732e+01 1.4357635e+01 1.8226094e+00 5.8896900e+01 3.5203239e+02
34 1.8330532e+00 5.9313961e+01 1.4519304e+01 1.6133282e+00 5.9716171e+01 3.6253850e+02
35 1.6744571e+00 5.9518208e+01 1.4819942e+01 1.6216067e+00 5.9839428e+01 3.7329876e+02
36 1.6886089e+00 5.9957779e+01 1.4451534e+01 1.4580349e+00 6.0450527e+01 3.8105664e+02
37 1.5696175e+00 6.0535412e+01 1.4929866e+01 1.4328990e+00 6.0203835e+01 3.9013154e+02
38 1.5374558e+00 6.0903648e+01 1.4838584e+01 1.2929054e+00 6.0334396e+01 3.9959749e+02
39 1.4413381e+00 6.0684330e+01 1.4815957e+01 1.2057703e+00 6.0938358e+01 4.0853716e+02
40 1.3313054e+00 6.0439224e+01 1.5104780e+01 1.3381531e+00 6.0163586e+01 4.2095525e+02
41 1.3799423e+00 6.0530766e+01 1.4832655e+01 1.1874021e+00 6.0309483e+01 4.3124132e+02
42 1.2456454e+00 6.0910370e+01 1.5438874e+01 1.1840377e+00 6.1199242e+01 4.4099682e+02
43 1.2686441e+00 6.2327255e+01 1.4810184e+01 1.1261010e+00 6.2580578e+01 4.5143651e+02
44 1.2044772e+00 6.3402145e+01 1.5252542e+01 1.1776221e+00 6.4004196e+01 4.5969884e+02
45 1.2669721e+00 6.4645607e+01 1.4549265e+01 1.1034670e+00 6.4575706e+01 4.7130648e+02
46 1.1619185e+00 6.4687164e+01 1.5435225e+01 1.1323549e+00 6.5115768e+01 4.8275921e+02
47 1.2026559e+00 6.5363144e+01 1.4827595e+01 1.1566763e+00 6.4662621e+01 4.8949212e+02
48 1.1623299e+00 6.5635811e+01 1.5098484e+01 1.1726397e+00 6.5893250e+01 5.0223476e+02
49 1.1549268e+00 6.6389656e+01 1.5067104e+01 1.0911647e+00 6.6127045e+01 5.1246590e+02
50 1.1606853e+00 6.6861130e+01 1.4753474e+01 1.0197874e+00 6.6556023e+01 5.2286761e+02
51 1.0644403e+00 6.7008026e+01 1.5438629e+01 1.0849242e+00 6.7116379e+01 5.3328307e+02
52 1.1779286e+00 6.7489189e+01 1.4644661e+01 1.0715075e+00 6.6810287e+01 5.4011859e+02
53 1.0721298e+00 6.7487244e+01 1.5203743e+01 1.0609709e+00 6.7378708e+01 5.5082186e+02
54 1.0836159e+00 6.8010612e+01 1.4947241e+01 1.0111371e+00 6.8177551e+01 5.6081022e+02
55 1.1065354e+00 6.8556572e+01 1.4987597e+01 1.0900779e+00 6.8214798e+01 5.7081412e+02
56 1.0927401e+00 6.8782440e+01 1.4922746e+01 9.7169554e-01 6.8932953e+01 5.7893088e+02
57 1.1091481e+00 6.8830215e+01 1.5025134e+01 9.8742205e-01 6.9284531e+01 5.8816800e+02
58 9.9869668e-01 6.9329269e+01 1.5248567e+01 1.0415987e+00 6.9850121e+01 5.9589870e+02
59 1.0649517e+00 6.9680244e+01 1.4740505e+01 9.3929917e-01 6.9386200e+01 6.0391826e+02
