# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 5.0064236e+01 6.0602628e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.6909012e+01 2.3697141e-01 2.0243887e+01
2 3.8458298e+01 8.7220287e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0823214e+01 3.1626041e+00 4.1399000e+01
3 1.7165180e+01 7.0795279e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.6203346e+01 1.0837525e+01 6.2233197e+01
4 1.2153734e+01 8.8366280e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1547647e+01 6.3223462e+00 8.2679985e+01
5 1.1475448e+01 6.2111769e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0226554e+01 7.2441344e+00 1.0423288e+02
6 9.0607452e+00 8.9186525e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.0487518e+00 1.1260962e+01 1.2556500e+02
7 7.0754361e+00 1.1374586e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.2049127e+00 1.2030052e+01 1.4678640e+02
8 5.9231710e+00 1.2054231e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.2814775e+00 1.3054303e+01 1.6781128e+02
9 5.0128489e+00 1.3067283e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.7028317e+00 1.3168860e+01 1.8908710e+02
10 4.3517842e+00 1.2211321e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.2014685e+00 1.1933924e+01 2.1074448e+02
11 3.9460554e+00 1.1992965e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.6267719e+00 1.2515840e+01 2.3170107e+02
12 3.3942740e+00 1.1970725e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.2520826e+00 1.2299992e+01 2.5239686e+02
13 2.9088700e+00 1.2104058e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.8595860e+00 1.2591016e+01 2.7461387e+02
14 2.5332179e+00 1.2323926e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5064008e+00 1.2507610e+01 2.9517730e+02
15 2.1815491e+00 1.2337380e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.1722441e+00 1.3041529e+01 3.1653010e+02
16 1.8989925e+00 1.2895164e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.8516243e+00 1.3106502e+01 3.3766137e+02
17 1.5900851e+00 1.3009381e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.5767539e+00 1.3540213e+01 3.5911989e+02
18 1.3941089e+00 1.3490096e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.4302026e+00 1.4104977e+01 3.7962866e+02
19 1.3006598e+00 1.3907118e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3393830e+00 1.4425566e+01 4.0062901e+02
20 1.2139733e+00 1.4325935e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.2316805e+00 1.4756861e+01 4.2214825e+02
21 1.1515932e+00 1.4727118e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1758485e+00 1.5178355e+01 4.4316797e+02
22 1.1081432e+00 1.5112944e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1777192e+00 1.5336603e+01 4.6491597e+02
23 1.0951898e+00 1.5425728e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1380762e+00 1.5678688e+01 4.8610566e+02
24 1.0753295e+00 1.5663426e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1173639e+00 1.6087111e+01 5.0722059e+02
25 1.0553336e+00 1.5934828e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1033850e+00 1.6160027e+01 5.2821292e+02
26 1.0350449e+00 1.6158718e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0737599e+00 1.6443441e+01 5.4905909e+02
27 1.0199496e+00 1.6298409e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0814930e+00 1.6720703e+01 5.7038698e+02
28 1.0107435e+00 1.6507015e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0550917e+00 1.6775791e+01 5.9067859e+02
29 9.9570715e-01 1.6656183e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0437517e+00 1.6940113e+01 6.1126766e+02
30 9.8169798e-01 1.6788658e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0322304e+00 1.7072800e+01 6.3244726e+02
31 9.7604603e-01 1.6911196e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0248089e+00 1.7213789e+01 6.5345726e+02
32 9.6937537e-01 1.7008011e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0188253e+00 1.7346941e+01 6.7389410e+02
33 9.6243685e-01 1.7157957e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0096509e+00 1.7372753e+01 6.9547221e+02
34 9.5805734e-01 1.7270369e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0043193e+00 1.7576324e+01 7.1706515e+02
35 9.4976735e-01 1.7362276e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0013850e+00 1.7730007e+01 7.3845233e+02
36 9.4252145e-01 1.7505762e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.9336082e-01 1.7786001e+01 7.5961209e+02
37 9.3986988e-01 1.7620918e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.8497415e-01 1.7915180e+01 7.8069254e+02
38 9.3473935e-01 1.7738806e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.8064619e-01 1.8031490e+01 8.0161919e+02
39 9.2838377e-01 1.7835676e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.7416931e-01 1.8198692e+01 8.2342850e+02
40 9.2629164e-01 1.7945543e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.7146434e-01 1.8322987e+01 8.4513053e+02
41 9.1950291e-01 1.8042841e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.6530777e-01 1.8382536e+01 8.6646958e+02
42 9.1316658e-01 1.8147755e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.6138108e-01 1.8469690e+01 8.8767014e+02
43 9.0753901e-01 1.8241812e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.5746493e-01 1.8537258e+01 9.0923903e+02
44 9.0472037e-01 1.8324064e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.5355552e-01 1.8635450e+01 9.2998946e+02
45 9.0572816e-01 1.8399084e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.5548147e-01 1.8699196e+01 9.5150572e+02
46 9.0713006e-01 1.8488735e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.4803488e-01 1.8867907e+01 9.7275888e+02
47 8.9986306e-01 1.8600094e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.4586486e-01 1.8964476e+01 9.9391857e+02
48 8.9363062e-01 1.8686016e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.3887693e-01 1.8980141e+01 1.0155166e+03
49 8.8874954e-01 1.8784792e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.3917543e-01 1.9044552e+01 1.0366119e+03
50 8.9112920e-01 1.8853958e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.3373829e-01 1.9244736e+01 1.0576355e+03
51 8.8721555e-01 1.8970133e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.4558173e-01 1.9386381e+01 1.0785975e+03
52 8.8798827e-01 1.9056417e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.3238962e-01 1.9415197e+01 1.0998353e+03
53 8.8726610e-01 1.9153175e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.3395638e-01 1.9437637e+01 1.1204222e+03
54 8.8170898e-01 1.9240509e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.3415183e-01 1.9626724e+01 1.1408321e+03
55 8.7732095e-01 1.9352156e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.2203695e-01 1.9692427e+01 1.1622195e+03
56 8.7440968e-01 1.9413580e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.1945493e-01 1.9787050e+01 1.1829239e+03
57 8.6958742e-01 1.9501192e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.2174852e-01 1.9909243e+01 1.2044347e+03
58 8.6836976e-01 1.9607437e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.1151375e-01 1.9965084e+01 1.2259857e+03
59 8.6387438e-01 1.9681938e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.1256690e-01 2.0044102e+01 1.2472022e+03
60 8.6167204e-01 1.9762678e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.0528840e-01 2.0166656e+01 1.2677465e+03
61 8.5803288e-01 1.9862301e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.0612924e-01 2.0246437e+01 1.2891252e+03
62 8.5653371e-01 1.9948578e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.0571421e-01 2.0345829e+01 1.3102104e+03
63 8.5329443e-01 2.0050327e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.9966661e-01 2.0426702e+01 1.3310648e+03
64 8.4925991e-01 2.0127665e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.9674270e-01 2.0541014e+01 1.3532298e+03
65 8.4827429e-01 2.0219938e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.9328218e-01 2.0619143e+01 1.3743692e+03
66 8.4413236e-01 2.0311981e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.9037538e-01 2.0706844e+01 1.3954390e+03
67 8.4126419e-01 2.0395231e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8929582e-01 2.0854418e+01 1.4165142e+03
68 8.3936441e-01 2.0485891e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8833594e-01 2.0987219e+01 1.4376673e+03
69 8.3598733e-01 2.0594374e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8403356e-01 2.1009438e+01 1.4589411e+03
70 8.3540350e-01 2.0674248e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8751817e-01 2.1141426e+01 1.4795998e+03
71 8.3606642e-01 2.0796932e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8962132e-01 2.1135576e+01 1.5009389e+03
72 8.3139753e-01 2.0880816e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.8002408e-01 2.1343956e+01 1.5221154e+03
73 8.2937694e-01 2.0977722e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.7734228e-01 2.1421616e+01 1.5433207e+03
74 8.2410133e-01 2.1091637e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.6599785e-01 2.1637030e+01 1.5641780e+03
75 8.1791222e-01 2.1227057e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.6259931e-01 2.1706512e+01 1.5853998e+03
76 8.1363314e-01 2.1348753e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.6003077e-01 2.1890032e+01 1.6061208e+03
77 8.1064218e-01 2.1508022e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.5461897e-01 2.2090103e+01 1.6270910e+03
78 8.0215120e-01 2.1702494e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.4259081e-01 2.2300697e+01 1.6489688e+03
79 7.9625517e-01 2.1866613e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.4436685e-01 2.2427553e+01 1.6710586e+03
80 7.9081649e-01 2.2039093e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.3279771e-01 2.2628155e+01 1.6919285e+03
81 7.8311455e-01 2.2235430e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.2328111e-01 2.2794666e+01 1.7127117e+03
82 7.7233368e-01 2.2433325e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.1478596e-01 2.3046921e+01 1.7336927e+03
83 7.6681793e-01 2.2615223e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 8.0300707e-01 2.3139328e+01 1.7547794e+03
84 7.5907499e-01 2.2762316e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.9609644e-01 2.3301683e+01 1.7755848e+03
85 7.4949533e-01 2.2870533e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.8998232e-01 2.3511553e+01 1.7967449e+03
86 7.4091291e-01 2.3075817e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.7412701e-01 2.3563278e+01 1.8177573e+03
87 7.2655916e-01 2.3156317e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.6406896e-01 2.3679306e+01 1.8388560e+03
88 7.1756923e-01 2.3262426e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.5399882e-01 2.3645763e+01 1.8600835e+03
89 7.1067828e-01 2.3278242e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.4356312e-01 2.3767969e+01 1.8818751e+03
90 7.0238161e-01 2.3328657e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.4424058e-01 2.3781544e+01 1.9029937e+03
91 6.9445735e-01 2.3356363e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.3481125e-01 2.3667807e+01 1.9247646e+03
92 6.8200254e-01 2.3363243e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.2293258e-01 2.3787870e+01 1.9462193e+03
93 6.7744035e-01 2.3378967e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.1837974e-01 2.3799706e+01 1.9668571e+03
94 6.7944646e-01 2.3419449e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.1842867e-01 2.3775337e+01 1.9879422e+03
95 6.8476450e-01 2.3429117e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.0724416e-01 2.3849442e+01 2.0099156e+03
96 6.7248476e-01 2.3515261e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.0959753e-01 2.3809965e+01 2.0305838e+03
97 6.6056788e-01 2.3508512e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 7.0491141e-01 2.4035839e+01 2.0518249e+03
98 6.5221095e-01 2.3561205e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.9993979e-01 2.3986065e+01 2.0733491e+03
99 6.4494646e-01 2.3592703e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.9599396e-01 2.4146711e+01 2.0939332e+03
100 6.5133619e-01 2.3674263e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.9525504e-01 2.4036654e+01 2.1162536e+03
101 6.4881331e-01 2.3727327e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.9558811e-01 2.4085449e+01 2.1383299e+03
102 6.4089066e-01 2.3759665e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.9135314e-01 2.4255915e+01 2.1591548e+03
103 6.3575053e-01 2.3826838e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.8397629e-01 2.4255606e+01 2.1801021e+03
104 6.2742698e-01 2.3903631e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7821312e-01 2.4295591e+01 2.2011917e+03
105 6.2421066e-01 2.3971430e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7510384e-01 2.4368502e+01 2.2223265e+03
106 6.2114495e-01 2.4014383e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7394751e-01 2.4506044e+01 2.2433824e+03
107 6.1959988e-01 2.4085152e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7260015e-01 2.4575975e+01 2.2641969e+03
108 6.1860776e-01 2.4157051e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.6993505e-01 2.4529867e+01 2.2851060e+03
109 6.1548060e-01 2.4198458e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.6803503e-01 2.4572765e+01 2.3059402e+03
110 6.1395919e-01 2.4225702e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7070341e-01 2.4608307e+01 2.3278397e+03
111 6.1173058e-01 2.4289665e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.6777432e-01 2.4668922e+01 2.3488160e+03
112 6.1057681e-01 2.4327196e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.6942483e-01 2.4828127e+01 2.3696305e+03
113 6.1079431e-01 2.4374407e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.8706954e-01 2.4773504e+01 2.3910101e+03
114 6.1860085e-01 2.4442886e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.6324222e-01 2.4783699e+01 2.4131228e+03
115 6.1408985e-01 2.4453360e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.6382700e-01 2.4811119e+01 2.4341340e+03
116 6.1434782e-01 2.4486217e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.6741604e-01 2.4862835e+01 2.4557032e+03
117 6.1910838e-01 2.4518305e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.9051600e-01 2.5064121e+01 2.4772479e+03
118 6.1402780e-01 2.4567827e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.9280112e-01 2.4960211e+01 2.4983437e+03
119 6.1617410e-01 2.4582079e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7782193e-01 2.4976151e+01 2.5200598e+03
120 6.1087608e-01 2.4619013e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7231381e-01 2.4930384e+01 2.5417919e+03
121 6.0913926e-01 2.4593359e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7315841e-01 2.5090637e+01 2.5625530e+03
122 6.1766660e-01 2.4645250e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.7720252e-01 2.4972504e+01 2.5837871e+03
123 6.0028034e-01 2.4673800e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.5723956e-01 2.4976421e+01 2.6048614e+03
124 5.9322220e-01 2.4658186e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.5090775e-01 2.5003132e+01 2.6257858e+03
125 5.8896244e-01 2.4690083e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4883453e-01 2.5047155e+01 2.6472109e+03
126 5.8086675e-01 2.4678028e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4721483e-01 2.5058752e+01 2.6684238e+03
127 5.8389378e-01 2.4704588e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4896601e-01 2.5055153e+01 2.6894058e+03
128 5.8198738e-01 2.4707970e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4909381e-01 2.4950508e+01 2.7104462e+03
129 5.8092928e-01 2.4712133e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4937818e-01 2.4982962e+01 2.7309840e+03
130 5.7762301e-01 2.4761599e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3973308e-01 2.5012125e+01 2.7522335e+03
131 5.7358253e-01 2.4726051e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4130187e-01 2.5131481e+01 2.7735402e+03
132 5.8143437e-01 2.4808374e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.5318263e-01 2.5045879e+01 2.7946410e+03
133 5.8029598e-01 2.4819384e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4248192e-01 2.5196211e+01 2.8159920e+03
134 5.7635885e-01 2.4750906e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.4633113e-01 2.5195955e+01 2.8378576e+03
135 5.7250071e-01 2.4824156e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3737565e-01 2.5122805e+01 2.8596117e+03
136 5.6355852e-01 2.4795900e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3664806e-01 2.5107605e+01 2.8809064e+03
137 5.6354254e-01 2.4787603e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3607174e-01 2.5120930e+01 2.9020915e+03
138 5.5950505e-01 2.4759054e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3215220e-01 2.5123848e+01 2.9234685e+03
139 5.5795044e-01 2.4776955e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3080776e-01 2.5029541e+01 2.9442529e+03
140 5.5696607e-01 2.4809925e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.2623233e-01 2.5005306e+01 2.9659558e+03
141 5.5700022e-01 2.4798378e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.2922293e-01 2.5042746e+01 2.9877357e+03
142 5.5701512e-01 2.4805550e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3172430e-01 2.5051336e+01 3.0085547e+03
143 5.5570418e-01 2.4815241e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3480228e-01 2.5067398e+01 3.0295956e+03
144 5.5795425e-01 2.4857664e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3873023e-01 2.5041927e+01 3.0506513e+03
145 5.5668944e-01 2.4817360e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.3002104e-01 2.5131222e+01 3.0713191e+03
