# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 3.3182961e+01 7.8998917e-01 3.2416126e+01 2.3986323e+00 6.7912012e-01 2.2717962e+01 8.8943553e-01 1.4804807e+00
2 2.0263548e+01 1.0217410e+00 2.8191586e+01 1.9926308e+00 1.2993153e+00 1.4000864e+01 1.2947448e+00 2.6469748e+00
3 1.3202108e+01 1.5733024e+00 2.2752207e+01 1.8936327e+00 2.5728536e+00 9.0685968e+00 2.1662989e+00 3.8144920e+00
4 8.6361904e+00 2.6498334e+00 2.2561468e+01 1.7810040e+00 3.3468614e+00 5.5826955e+00 3.7178550e+00 4.9958081e+00
5 5.3207483e+00 5.0114875e+00 2.3560469e+01 1.8685421e+00 5.0191650e+00 4.4661293e+00 6.2952933e+00 6.3039386e+00
6 3.9109273e+00 7.2626219e+00 2.4653831e+01 1.8323756e+00 6.0601406e+00 2.9232759e+00 7.3406758e+00 7.6357481e+00
7 2.6477640e+00 8.1767197e+00 2.2334778e+01 1.7834195e+00 4.1794977e+00 2.1276226e+00 8.4283285e+00 8.9132614e+00
8 2.0197906e+00 9.2935743e+00 2.1969578e+01 1.6615555e+00 3.9625514e+00 1.8754270e+00 9.4472675e+00 1.0378675e+01
9 1.7682612e+00 1.0236588e+01 2.2972181e+01 1.7420014e+00 3.9806156e+00 1.6791221e+00 1.0389745e+01 1.1784935e+01
10 1.6151946e+00 1.1131481e+01 2.3983866e+01 1.7463367e+00 3.8882537e+00 1.5815847e+00 1.1231816e+01 1.3046583e+01
11 1.4408618e+00 1.2260900e+01 2.4656982e+01 1.7341740e+00 4.0493102e+00 1.4856776e+00 1.2267295e+01 1.4288961e+01
12 1.3734633e+00 1.3062176e+01 2.4942961e+01 1.5613029e+00 4.0385828e+00 1.4186460e+00 1.2499073e+01 1.5685054e+01
13 1.3214772e+00 1.3201982e+01 2.4282974e+01 1.4290463e+00 3.9373043e+00 1.2952881e+00 1.2755164e+01 1.6844356e+01
