# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 3.3548744e+01 6.7985535e-01 3.4443531e+01 2.3382332e+00 0.0000000e+00 2.6866198e+01 7.2440904e-01 2.7149031e+00
2 2.5601797e+01 7.9544979e-01 2.7470526e+01 1.7570808e+00 0.0000000e+00 2.0565912e+01 9.6895021e-01 4.8133833e+00
3 1.8442331e+01 1.1528623e+00 2.0651466e+01 1.2763842e+00 0.0000000e+00 1.6146223e+01 1.4848418e+00 7.1615005e+00
4 1.4191043e+01 1.6995745e+00 1.6054628e+01 1.2019444e+00 0.0000000e+00 1.2653612e+01 2.0056500e+00 9.2432997e+00
5 1.2485366e+01 2.2566810e+00 1.6037510e+01 1.1027083e+00 0.0000000e+00 9.4336720e+00 2.6767657e+00 1.2399249e+01
6 1.0343174e+01 2.9198399e+00 1.6638210e+01 1.2434748e+00 0.0000000e+00 8.0398636e+00 3.2777612e+00 1.5347158e+01
7 9.3940449e+00 3.5341501e+00 1.9641130e+01 1.4124503e+00 0.0000000e+00 7.8610225e+00 3.9576895e+00 1.8030340e+01
8 8.7526550e+00 4.2727075e+00 2.1674358e+01 1.3033967e+00 0.0000000e+00 7.4969897e+00 4.6890750e+00 2.1024180e+01
9 8.5663261e+00 4.9312549e+00 2.3559963e+01 1.3796850e+00 0.0000000e+00 7.4009032e+00 5.1867204e+00 2.3999564e+01
10 8.3924541e+00 5.4008117e+00 2.5276817e+01 1.5008391e+00 0.0000000e+00 7.3261285e+00 5.5656037e+00 2.6790762e+01
11 8.2353382e+00 5.7589707e+00 2.5102219e+01 1.3096657e+00 0.0000000e+00 7.0356212e+00 5.8975945e+00 3.0023951e+01
12 8.1078711e+00 5.9902101e+00 2.6346796e+01 1.3802921e+00 0.0000000e+00 6.9514694e+00 6.1042333e+00 3.3285453e+01
13 8.0313787e+00 6.1995125e+00 2.7167549e+01 1.3846745e+00 0.0000000e+00 6.9628325e+00 6.2116408e+00 3.6145605e+01
14 7.9840097e+00 6.3240633e+00 2.7688356e+01 1.4206368e+00 0.0000000e+00 6.8774362e+00 6.3349600e+00 3.9275903e+01
15 7.9080396e+00 6.4221869e+00 2.7680494e+01 1.3463639e+00 0.0000000e+00 6.8324151e+00 6.4186444e+00 4.2172073e+01
16 7.8539724e+00 6.4858799e+00 2.7501114e+01 1.3828852e+00 0.0000000e+00 6.8302960e+00 6.4599895e+00 4.5600375e+01
17 7.8407645e+00 6.5214109e+00 2.7515160e+01 1.3359975e+00 0.0000000e+00 6.7976856e+00 6.5109844e+00 4.8496696e+01
